Id,Created Time,Closing Date,Stage,Source,Campaign,Product,Education Type,Payment Type,Initial Amount Paid,Offer Total Amount,Quality,Deal Owner Name,City,Level of Deutsch,Course duration,Months of study,amount_error,closing_date_error
5805028000055525099,2024-06-15 13:50:00,,Waiting For Payment,Webinar,webinar1906,Web Developer,Morning,,100.0,2900.0,B - Medium,Eva Kent,"Poland , Gdansk , Al. Grunwaldzka 7, ap. 1a",,6.0,,False,False
5805028000053717506,2024-06-06 14:53:00,,Call Delayed,SMM,blog2_DE,Web Developer,Morning,,2900.0,3000.0,C - Low,Ben Hall,,,6.0,,True,False
5805028000052825311,2024-05-31 18:08:00,2024-06-15,Payment Done,SMM,blog2_DE,UX/UI Design,Morning,One Payment,3500.0,3500.0,C - Low,Eva Kent,Novi Sad,,11.0,2.0,False,False
5805028000053249254,2024-06-03 21:51:00,,Qualificated,Google Ads,performancemax_eng_DE,Web Developer,Morning,,,2900.0,C - Low,Quincy Vincent,,,6.0,,False,False
5805028000053098851,2024-06-03 06:05:00,,Qualificated,Youtube Ads,youtube_shorts_DE,Web Developer,Morning,,0.0,2900.0,C - Low,Ulysses Adams,,,6.0,,False,False
5805028000041507066,2024-04-03 17:03:00,2024-04-05,Payment Done,Google Ads,performancemax_digitalmarkt_ru_DE,UX/UI Design,Morning,One Payment,3500.0,3500.0,A - High,Ben Hall,Rohrdorf,,11.0,3.0,False,False
5805028000033423856,2024-02-22 15:51:00,2024-02-28,Payment Done,Telegram posts,ASA_de_DE,UX/UI Design,Evening,One Payment,3500.0,3500.0,A - High,Paula Underwood,Ludwigsburg,,11.0,5.0,False,False
5805028000047660071,2024-05-01 17:05:00,,Qualificated,Google Ads,Dis_DE,Web Developer,Morning,,1500.0,2900.0,C - Low,Ben Hall,Gummersbach,,6.0,,False,False
5805028000030056688,2024-02-04 17:10:00,2024-02-07,Payment Done,Youtube Ads,youtube_shorts_DE,UX/UI Design,Evening,One Payment,3500.0,3500.0,C - Low,Victor Barnes,Altötting,,11.0,1.0,False,False
5805028000025634471,2024-01-11 22:14:00,2024-01-21,Payment Done,Facebook Ads,12.09.23interests_Uxui_DE,UX/UI Design,Morning,One Payment,3500.0,3500.0,C - Low,Charlie Davis,Weiterstadt,,11.0,6.0,False,False
5805028000024646047,2024-01-07 12:26:00,2024-01-14,Payment Done,Facebook Ads,03.07.23women,Digital Marketing,Evening,One Payment,3500.0,3500.0,B - Medium,Julia Nelson,Dettelbach,,11.0,6.0,False,False
5805028000017521591,2023-11-17 22:32:00,2023-11-28,Lost,Facebook Ads,03.07.23women,Digital Marketing,Morning,One Payment,1500.0,2900.0,C - Low,Julia Nelson,Maikammer,,11.0,,False,False
5805028000024515597,2024-01-06 10:26:00,2024-01-09,Payment Done,Facebook Ads,02.07.23wide_DE,Digital Marketing,Evening,One Payment,3500.0,3500.0,B - Medium,Charlie Davis,München,,11.0,6.0,False,False
5805028000023498013,2023-12-28 09:48:00,2023-12-28,Payment Done,Organic,,Digital Marketing,Morning,One Payment,3500.0,3500.0,A - High,Julia Nelson,Gdynia,,11.0,7.0,False,False
5805028000013016254,2023-10-21 13:22:00,2023-10-31,Lost,Google Ads,Dis_DE,Digital Marketing,Evening,Recurring Payments,300.0,2900.0,C - Low,Charlie Davis,Mutlangen,,11.0,,False,False
5805028000018767107,2023-11-26 12:10:00,2023-12-22,Payment Done,Google Ads,performancemax_digitalmarkt_ru_DE,Digital Marketing,Morning,One Payment,3500.0,3500.0,A - High,Oliver Taylor,Hennigsdorf,B1,11.0,7.0,False,False
5805028000012445103,2023-10-18 20:48:00,2023-10-31,Lost,Facebook Ads,12.09.23interests_Uxui_DE,Digital Marketing,Evening,Recurring Payments,300.0,2900.0,C - Low,Charlie Davis,,,11.0,,False,False
5805028000012658151,2023-10-19 22:27:00,2024-02-02,Payment Done,Facebook Ads,15.07.23b_DE,Digital Marketing,Evening,One Payment,3500.0,3500.0,B - Medium,Charlie Davis,Lübeck,,11.0,9.0,False,False
5805028000049558326,2024-05-12 16:42:00,,Payment Done,Facebook Ads,07.07.23LAL_DE,UX/UI Design,Morning,,11000.0,11500.0,C - Low,Cara Iverson,,в1,11.0,2.0,True,False
5805028000009580327,2023-09-30 14:30:00,2023-11-13,Lost,Facebook Ads,12.09.23interests_Uxui_DE,Digital Marketing,Evening,,300.0,2900.0,C - Low,Charlie Davis,,,11.0,,False,False
5805028000016634044,2023-11-13 07:33:00,,Call Delayed,Facebook Ads,03.07.23women,Digital Marketing,Morning,,1000.0,11398.0,C - Low,Julia Nelson,,,11.0,,False,False
5805028000050560404,2024-05-17 22:48:00,2024-06-13,Lost,Tiktok Ads,12.07.2023wide_DE,UX/UI Design,Morning,,1000.0,11500.0,C - Low,Charlie Davis,,,11.0,,False,False
5805028000050317412,2024-05-16 13:32:00,,Waiting For Payment,Facebook Ads,07.07.23LAL_DE,Digital Marketing,Morning,,1000.0,11500.0,C - Low,Charlie Davis,,Б1,11.0,,False,False
5805028000046680479,2024-04-26 14:06:00,,Waiting For Payment,Facebook Ads,02.07.23wide_DE,Digital Marketing,Morning,,1000.0,11500.0,C - Low,Charlie Davis,,,11.0,,False,False
5805028000044847370,2024-04-18 13:38:00,,Lost,SMM,yo_DE,Digital Marketing,Morning,,1000.0,11500.0,B - Medium,Charlie Davis,,,11.0,,False,False
5805028000044887192,2024-04-18 12:55:00,,Lost,SMM,bbo_DE,UX/UI Design,Morning,,1000.0,11500.0,C - Low,Charlie Davis,,,11.0,,False,False
5805028000048353017,2024-05-05 22:18:00,,Payment Done,Tiktok Ads,12.07.2023wide_DE,UX/UI Design,Morning,,11000.0,11500.0,B - Medium,Cara Iverson,,в1,11.0,2.0,True,False
5805028000044475193,2024-04-17 10:48:00,,Waiting For Payment,Webinar,webinar1604,Digital Marketing,Morning,,1000.0,11500.0,C - Low,Charlie Davis,Nürnberg,,11.0,,False,False
5805028000048042263,2024-05-04 09:26:00,,Payment Done,Organic,,UX/UI Design,Morning,,11000.0,11500.0,C - Low,Cara Iverson,,в1,11.0,1.0,True,False
5805028000043936158,2024-04-15 21:49:00,,Call Delayed,CRM,1704start,Digital Marketing,Morning,,1000.0,11500.0,C - Low,Victor Barnes,Kassel,,11.0,,False,False
5805028000043125593,2024-04-11 14:13:00,,Call Delayed,Webinar,,Digital Marketing,Morning,,1000.0,11500.0,B - Medium,Charlie Davis,,,11.0,,False,False
5805028000046984430,2024-04-28 10:28:00,,Payment Done,Google Ads,brand_search_eng_DE,UX/UI Design,Morning,,11000.0,11500.0,C - Low,Cara Iverson,,,11.0,2.0,True,False
