Date,Source,Campaign,Spend,Clicks,Impressions,AdGroup,Ad
2023-07-03,Google Ads,gen_analyst_DE,0.0,0,6,,
2023-07-03,Google Ads,performancemax_eng_DE,0.01,1,4,,
2023-12-23,Bloggers,,774.0,164,15001,,
2023-10-10,Bloggers,,773.0,257,9797,,
2024-02-29,Bloggers,,750.0,181,10369,,
2023-07-03,Facebook Ads,03.07.23women,3.3,6,187,women,b3
2023-07-03,Facebook Ads,03.07.23women,0.02,1,4,women,b1
2024-03-12,Bloggers,,750.0,140,9560,,
2024-05-01,SMM,,750.0,33,0,,
2023-07-03,Facebook Ads,02.07.23wide_DE,0.58,0,61,wide,b4
2023-07-03,Facebook Ads,02.07.23wide_DE,0.24,1,21,wide,b1
2023-07-03,Facebook Ads,02.07.23wide_DE,5.29,12,303,wide,b3
2023-07-03,Facebook Ads,03.07.23women,0.83,0,78,women,b4
2024-05-30,SMM,,750.0,112,0,,
2024-01-30,SMM,,640.0,277,0,,
2024-02-07,SMM,,595.0,240,0,,
2024-03-04,SMM,,500.0,90,0,,
2024-04-13,SMM,,500.0,99,0,,
2024-03-19,Bloggers,,436.5,128,6279,,
2023-07-04,Google Ads,performancemax_eng_DE,0.01,1,35,,
2023-07-04,Google Ads,gen_analyst_DE,7.43,5,50,,
2024-03-29,Bloggers,,425.0,220,14822,,
2024-04-22,Bloggers,,416.5,348,4217,,
2024-05-28,Telegram posts,,394.0,180,10015,,
2023-12-14,Bloggers,,392.5,327,4176,,
2023-07-04,Facebook Ads,02.07.23wide_DE,0.53,0,25,wide,b2
2023-07-04,Tiktok Ads,12.07.2023wide_DE,6.67,8,2156,wide,v2
2024-01-22,Bloggers,,392.5,112,18025,,
2024-04-29,Bloggers,,375.0,143,6276,,
2023-07-04,Facebook Ads,02.07.23wide_DE,0.06,0,8,wide,b4
2023-07-04,Facebook Ads,02.07.23wide_DE,0.02,0,4,wide,b1
2023-07-04,Facebook Ads,03.07.23women,0.02,0,5,women,b1
2023-07-04,Facebook Ads,03.07.23women,11.02,15,766,women,b3
2023-07-04,Facebook Ads,03.07.23women,0.25,0,19,women,b2
2023-07-04,Facebook Ads,02.07.23wide_DE,15.53,34,1077,wide,b3
2024-05-31,Bloggers,,375.0,246,6499,,
2023-07-04,Facebook Ads,03.07.23women,0.2,0,14,women,b4
2023-07-04,Tiktok Ads,12.07.2023wide_DE,6.45,6,2849,wide,v1
2024-01-26,Bloggers,,355.0,349,18751,,
2024-03-06,SMM,,350.0,109,0,,
2024-06-05,SMM,,350.0,84,0,,
2024-06-07,SMM,,350.0,61,0,,
2023-10-05,Bloggers,,340.0,769,4301,,
2023-11-14,Bloggers,,340.0,465,5878,,
2023-12-19,Bloggers,,340.0,182,5176,,
2023-07-05,Facebook Ads,02.07.23wide_DE,1.16,2,62,wide,b2
2023-07-05,Google Ads,gen_analyst_DE,6.1,7,117,,
2023-07-05,Google Ads,performancemax_eng_DE,42.4,324,12729,,
2023-07-05,Facebook Ads,03.07.23women,10.84,20,741,women,b3
2023-07-05,Facebook Ads,02.07.23wide_DE,0.01,0,1,wide,b1
2023-07-05,Facebook Ads,03.07.23women,0.49,2,50,women,b2
2023-07-05,Facebook Ads,02.07.23wide_DE,0.05,0,3,wide,b4
2023-07-05,Tiktok Ads,12.07.2023wide_DE,14.69,12,4413,wide,v2
2023-07-05,Facebook Ads,03.07.23women,0.0,0,1,women,b1
2024-01-24,SMM,,300.0,50,0,,
2023-12-06,Bloggers,,298.0,117,4580,,
2023-07-05,Tiktok Ads,12.07.2023wide_DE,5.31,3,2103,wide,v1
2023-07-05,Facebook Ads,02.07.23wide_DE,15.02,27,866,wide,b3
2023-07-05,Facebook Ads,03.07.23women,0.07,0,6,women,b4
2023-07-06,Facebook Ads,05.07.23interests_DE,0.11,1,17,interest_programming,b4
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,0.41,0,29,recentlymoved,b4
2024-01-15,Telegram posts,,263.0,298,8526,,
2024-02-19,Telegram posts,,252.8,609,22568,,
2023-09-23,SMM,,250.0,21,0,,
2023-07-06,Facebook Ads,02.07.23wide_DE,0.23,0,3,wide,b1
2023-07-06,Tiktok Ads,12.07.2023wide_DE,4.13,7,1540,wide,v1
2023-07-06,Facebook Ads,05.07.23interests_DE,0.11,0,10,interest_dataanalytics,b2
2023-10-09,Bloggers,,200.0,99,1060,,
2023-11-13,Bloggers,,200.0,54,7221,,
2023-07-06,Facebook Ads,05.07.23interests_DE,0.29,1,40,interest_work,b2
2023-07-06,Facebook Ads,05.07.23interests_DE,0.55,3,34,interest_programming,b3
2023-07-06,Facebook Ads,03.07.23women,0.16,0,11,women,b4
